CUST_REF,TITLE_REF,DLG_ID,DLG_TYPE,REG_DATE,RELATED_DLG
168023,1/1128970,AT858184,L,27/02/2024,
154200,116/LF355,AT825798,SL,27/02/2024,X641679
114022,12/792253,AT857557,VL,27/02/2024,AR791871
154211,145/LF416,AT823874,VL,27/02/2024,AN462676
175158,145/LF416,AT823874,VL,27/02/2024,AN462676
163737,21/1049524,AT858239,L,27/02/2024,
138856,29/LF236,AT821778,L,27/02/2024,
143250,3/580093,AT813874,L,27/02/2024,
262850,369/LF396,AT824157,L,27/02/2024,
156231,41/LF310,AT827015,L,27/02/2024,
154211,43/LF416,AT822145,L,27/02/2024,
175158,43/LF416,AT822145,L,27/02/2024,
262850,430/LF396,AT826793,L,27/02/2024,
262850,514/LF396,AT824210,VL,27/02/2024,AP667364
162788,541/737456,AT858146,L,27/02/2024,
262850,56/LF396,AT824210,VL,27/02/2024,AP667364
146718,61/882495,AT858374,L,27/02/2024,
146718,61/882495,AT858401,L,27/02/2024,
171408,1/1210327,AT858977,L,28/02/2024,
135541,1/121959,AT861421,L,28/02/2024,
143576,1/617806,AT858733,TL,28/02/2024,AR700759
153276,1/78370,AT862189,L,28/02/2024,
121246,1/800621,AT861291,L,28/02/2024,
164306,15/LF297,AT829675,L,28/02/2024,
170011,2/1052642,AT859692,L,28/02/2024,
175200,2/34160,AT860171,DL,28/02/2024,AR810521
169538,25/LF443,AT829190,L,28/02/2024,
135403,3/800131,AT860060,L,28/02/2024,
169538,34/LF443,AT829061,L,28/02/2024,
141589,340/713234,AT863084,L,28/02/2024,
169538,35/LF443,AT829061,L,28/02/2024,
164306,37/LF297,AT829664,VL,28/02/2024,AP476919
164306,43/LF297,AT829667,L,28/02/2024,
169538,6/LF443,AT829150,L,28/02/2024,
262850,7/LF396,AT626650,L,28/02/2024,
161325,1/1092326,AT864940,L,29/02/2024,
169680,1/1169039,AT864646,L,29/02/2024,
175573,1/182023,,CAN,29/02/2024,
179131,1/554763,AT836865,VL,29/02/2024,AS285
146443,1/72103,AT833546,DL,29/02/2024,AS878874
163752,1/859629,AT843276,L,29/02/2024,
165232,10/1028973,AT864556,L,29/02/2024,
161623,10/551892,AT863986,DL,29/02/2024,AP258610
149639,100/789705,AT865430,VL,29/02/2024,AN45426
154072,119/LF377,AT724868,VL,29/02/2024,AS652535
136303,13/250595,AT864561,L,29/02/2024,
136303,13/250595,AT864562,L,29/02/2024,
177205,2/LF531,AT827840,VL,29/02/2024,AK702765
170412,2000/1147230,AT864123,SL,29/02/2024,AF607441
180159,21/1075884,AT865434,L,29/02/2024,
177205,3/LF531,AT827840,VL,29/02/2024,AK702765
171387,301/1133621,AT865241,L,29/02/2024,
177205,4/LF531,AT827840,VL,29/02/2024,AK702765
161275,45/872450,AT864089,L,29/02/2024,
162108,5/714488,AT864687,L,29/02/2024,
177205,5/LF531,AT827840,VL,29/02/2024,AK702765
148216,51/220971,AT864564,L,29/02/2024,
262850,594/LF396,AT827482,VL,29/02/2024,AN762149
169594,6/1062526,AT864965,L,29/02/2024,
157568,B/173296,AT863808,VL,29/02/2024,AM992659
156216,1/1119395,AT866050,TL,01/03/2024,AN232177
175113,1/1194933,AT868083,TL,01/03/2024,AR976062
114811,1/718197,AT868908,L,01/03/2024,
167702,1/88513,AT865538,DL,01/03/2024,AS857884
156259,10/749713,AT833658,TL,01/03/2024,AM659614
165025,11/777449,AT828884,VL,01/03/2024,AN945732
165025,11/777449,AT828895,L,01/03/2024,
269580,145/LF566,AT812240,L,01/03/2024,
154132,41/LF352,AT833931,L,01/03/2024,
132899,6/LF208,AT698556,TL,01/03/2024,AP905945
132899,7/LF208,AT698556,TL,01/03/2024,AP905945
178402,73/880066,AT827389,L,01/03/2024,
146300,76/809779,AT867380,L,01/03/2024,
154132,84/LF352,AT833938,DL,01/03/2024,AP429874
154200,88/LF355,AT833925,VL,01/03/2024,AP396930
162922,901/1074123,AT833991,L,01/03/2024,
162922,901/1074123,AT833992,L,01/03/2024,
162922,901/1074123,AT833993,L,01/03/2024,
127282,AC12933-111,AT868461,L,01/03/2024,
139371,1/570504,AT684036,DL,04/03/2024,AR967385
139371,1/570504,AT684036,DL,04/03/2024,AR978593
180721,1/608309,AT674978,DL,04/03/2024,V603944
180724,1/608309,AT674978,DL,04/03/2024,V603944
147541,1/631257,AT872225,L,04/03/2024,
156185,1/706146,AT871787,VL,04/03/2024,AP242472
185028,1/909754,AT872351,L,04/03/2024,
129308,101/706009,AT871171,L,04/03/2024,
154211,106/LF416,AT823832,L,04/03/2024,
175158,106/LF416,AT823832,L,04/03/2024,
154211,113/LF416,AT822151,L,04/03/2024,
175158,113/LF416,AT822151,L,04/03/2024,
154211,114/LF416,AT822151,L,04/03/2024,
175158,114/LF416,AT822151,L,04/03/2024,
164809,12/1048563,AT825042,L,04/03/2024,
164809,12/1048563,AT825050,L,04/03/2024,
164809,12/1048563,AT825080,L,04/03/2024,
164809,12/1048563,AT868049,L,04/03/2024,
137312,13/LF235,AT651603,L,04/03/2024,
154072,162/LF377,AT839641,DL,04/03/2024,AS304941
167689,2/1106583,AT871527,VL,04/03/2024,AQ109038
156538,2/513815,AT871521,L,04/03/2024,
147540,2/631257,AT872225,L,04/03/2024,
169654,299/1183231,AT723424,L,04/03/2024,
168263,30/LF290,AT666691,L,04/03/2024,
176000,34/LF623,AT834350,SL,04/03/2024,AJ821221
184742,4/1206546,AT827810,L,04/03/2024,
169187,4/227136,AT871297,TL,04/03/2024,AP88133
262850,573/LF396,,CAN,04/03/2024,
146435,AC10102-245,AT813156,L,04/03/2024,
